tick,time_s,blue-0_team,blue-0_profile,blue-1_team,blue-1_profile,blue-2_team,blue-2_profile,orange-0_team,orange-0_profile,orange-1_team,orange-1_profile,orange-2_team,orange-2_profile
12920,107.66666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12928,107.73333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12936,107.8,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12944,107.86666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12952,107.93333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12960,108.0,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12968,108.06666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12976,108.13333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12984,108.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
12992,108.26666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13000,108.33333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13008,108.4,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13016,108.46666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13024,108.53333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13032,108.6,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13040,108.66666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13048,108.73333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13056,108.8,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13064,108.86666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13072,108.93333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13080,109.0,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13088,109.06666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13096,109.13333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13104,109.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13112,109.26666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13120,109.33333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13128,109.4,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13136,109.46666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13144,109.53333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13152,109.6,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13160,109.66666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13168,109.73333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13176,109.8,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13184,109.86666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13192,109.93333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13200,110.0,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13208,110.06666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13216,110.13333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13224,110.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13232,110.26666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13240,110.33333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13248,110.4,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13256,110.46666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13264,110.53333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13272,110.6,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13280,110.66666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13288,110.73333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13296,110.8,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13304,110.86666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13312,110.93333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13320,111.0,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13328,111.06666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13336,111.13333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13344,111.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13352,111.26666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13360,111.33333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
