tick,time_s,ball_x,ball_y,ball_z,ball_vx,ball_vy,ball_vz,score_blue,score_orange,last_touch_aid,last_touch_team,last_touch_tick,blue-0_team,blue-0_x,blue-0_y,blue-0_z,blue-0_vx,blue-0_vy,blue-0_vz,blue-0_boost,blue-0_profile,blue-1_team,blue-1_x,blue-1_y,blue-1_z,blue-1_vx,blue-1_vy,blue-1_vz,blue-1_boost,blue-1_profile,orange-0_team,orange-0_x,orange-0_y,orange-0_z,orange-0_vx,orange-0_vy,orange-0_vz,orange-0_boost,orange-0_profile,orange-1_team,orange-1_x,orange-1_y,orange-1_z,orange-1_vx,orange-1_vy,orange-1_vz,orange-1_boost,orange-1_profile,touch_streak_blue,touch_streak_orange,last_touch_bonus
25984,216.53333333333333,2405.8828125,4544.51416015625,92.41563415527344,-13.821008682250977,-0.7255616784095764,0.0,0,0,blue-0,0,8464,0,4007.756103515625,196.09898376464844,93.34578704833984,237.44972229003906,-15.171501159667969,-69.99046325683594,84.18270874023438,P_base,0,2898.35791015625,2823.403076171875,70.69771575927734,358.6356506347656,-168.95326232910156,275.09271240234375,0.0,P_base,1,-1774.98583984375,1417.4571533203125,34.83027648925781,262.0742492675781,266.7640075683594,319.5127868652344,0.0,P_base,1,-366.70526123046875,-160.80003356933594,83.73358154296875,463.5445251464844,650.3704223632812,-306.3517761230469,0.0,P_base,1,0,0.1
25992,216.6,2404.96240234375,4544.46533203125,92.41563415527344,-13.79797649383545,-0.7245100736618042,0.0,0,0,blue-0,0,8464,0,4014.256591796875,193.0165557861328,95.02938079833984,27.1153507232666,-23.224390029907227,55.629764556884766,82.79522705078125,P_base,0,2922.239501953125,2812.163330078125,87.41035461425781,358.2137756347656,-168.59288024902344,231.73141479492188,0.0,P_base,1,-1757.5145263671875,1435.25048828125,55.31627655029297,262.0611572265625,266.8968811035156,288.3315734863281,0.0,P_base,1,-339.01055908203125,-120.1041259765625,75.94239044189453,387.1858215332031,586.658203125,-7.270507335662842,0.0,P_base,1,0,0.1
26000,216.66666666666666,2404.043212890625,4544.41650390625,92.41563415527344,-13.779979705810547,-0.7234600186347961,0.0,0,0,blue-0,0,8464,0,4001.926025390625,192.8571014404297,110.0667953491211,-236.81480407714844,-0.9444766044616699,255.08758544921875,82.79522705078125,P_base,0,2946.12109375,2800.923828125,101.23412322998047,358.2137756347656,-168.59288024902344,188.39813232421875,0.0,P_base,1,-1742.4937744140625,1484.4873046875,72.91875457763672,221.2523193359375,807.0921630859375,245.10435485839844,0.0,P_base,1,-313.05859375,-80.95366668701172,73.91445922851562,390.9285888671875,587.7532348632812,-48.47554397583008,0.0,P_base,1,0,0.1
26008,216.73333333333332,2403.125244140625,4544.36767578125,92.41563415527344,-13.762008666992188,-0.7224115133285522,0.0,0,0,blue-0,0,8464,0,3985.572509765625,192.67259216308594,126.03033447265625,-245.1457977294922,-4.692685127258301,220.7134552001953,82.79522705078125,P_base,0,2969.8896484375,2789.745849609375,112.15081024169922,354.8189697265625,-166.7797393798828,144.51351928710938,0.0,P_base,1,-1727.61767578125,1538.4007568359375,87.615234375,224.63442993164062,809.9102172851562,201.1902313232422,0.0,P_base,1,-286.85333251953125,-41.72288513183594,69.12835693359375,394.7605285644531,589.0355834960938,-89.96013641357422,0.0,P_base,1,0,0.1
26016,216.8,2402.20849609375,4544.31884765625,92.41563415527344,-13.73907470703125,-0.7213644981384277,0.0,0,0,blue-0,0,8464,0,3969.230224609375,192.32298278808594,139.12306213378906,-245.11514282226562,-5.244907855987549,177.43260192871094,82.79522705078125,P_base,0,3000.430419921875,2794.138427734375,121.34793853759766,471.42352294921875,99.73123931884766,121.29168701171875,0.0,P_base,1,-1712.6136474609375,1592.4168701171875,93.00135803222656,225.06544494628906,810.2462768554688,0.04000216722488403,0.0,P_base,1,-260.69122314453125,-2.7094404697418213,62.9962158203125,380.6009521484375,571.9743041992188,-46.40283966064453,0.0,P_base,1,0,0.1
26024,216.86666666666667,2401.293212890625,4544.27001953125,92.41563415527344,-13.721156120300293,-0.7203190326690674,0.0,0,0,blue-0,0,8464,0,3952.88818359375,191.97335815429688,149.326904296875,-245.11514282226562,-5.244907855987549,134.09925842285156,82.79522705078125,P_base,0,3031.825439453125,2800.800537109375,127.8030776977539,470.913330078125,99.93209838867188,77.86890411376953,0.0,P_base,1,-1697.493408203125,1646.47998046875,92.1839828491211,228.56776428222656,811.5939331054688,-15.36974048614502,0.0,P_base,1,-235.35411071777344,35.23148727416992,59.11319351196289,379.57354736328125,567.330810546875,-68.46728515625,0.0,P_base,1,0,0.1
26032,216.93333333333334,2400.37939453125,4544.22119140625,92.41563415527344,-13.698291778564453,-0.7192750573158264,0.0,0,0,blue-0,0,8464,0,3936.522216796875,189.43382263183594,156.6961212158203,-245.93045043945312,-70.9450912475586,92.19400024414062,80.85275268554688,P_base,0,3063.09765625,2807.499267578125,131.34840393066406,467.2323303222656,101.01393127441406,33.90315628051758,0.0,P_base,1,-1682.10205078125,1700.6370849609375,91.13386535644531,232.6647491455078,812.9364013671875,-15.843873023986816,0.0,P_base,1,-211.39805603027344,71.35587310791016,60.229881286621094,350.6810302734375,531.8135986328125,42.238258361816406,0.0,P_base,1,0,0.1
26040,217.0,2399.466796875,4544.17236328125,92.41563415527344,-13.680425643920898,-0.7182326316833496,0.0,0,0,blue-0,0,8464,0,3920.056640625,182.46011352539062,161.2440185546875,-247.4132843017578,-115.6383285522461,49.38578796386719,79.46527099609375,P_base,0,3094.211669921875,2814.2421875,131.97731018066406,466.7027893066406,101.15290832519531,-9.524740219116211,0.0,P_base,1,-1666.435302734375,1754.87841796875,90.07937622070312,236.8583221435547,814.0889282226562,-15.732865333557129,0.0,P_base,1,-188.07762145996094,106.75369262695312,61.69121170043945,348.1224670410156,529.33251953125,10.78476619720459,0.0,P_base,1,0,0.1
26048,217.06666666666666,2398.5556640625,4544.12353515625,92.41563415527344,-13.662582397460938,-0.7171916365623474,0.0,0,0,blue-0,0,8464,0,3880.495849609375,155.67044067382812,162.91140747070312,-642.8270263671875,-442.7312316894531,6.0524468421936035,79.46527099609375,P_base,0,3125.325927734375,2820.985107421875,129.7173309326172,466.7027893066406,101.15290832519531,-52.85807800292969,0.0,P_base,1,-1650.60888671875,1809.1585693359375,89.042724609375,237.40074157714844,814.19970703125,-15.486626625061035,0.0,P_base,1,-164.89939880371094,142.006591796875,61.18647384643555,348.6998291015625,529.6282958984375,-26.613536834716797,0.0,P_base,1,0,0.1
26056,217.13333333333333,2397.645751953125,4544.07470703125,92.41563415527344,-13.639813423156738,-0.7161521911621094,0.0,0,0,blue-0,0,8464,0,3837.639892578125,126.15498352050781,161.6898956298828,-642.8270263671875,-442.7312316894531,-37.28089141845703,79.46527099609375,P_base,0,3156.440185546875,2827.727783203125,124.56845092773438,466.7027893066406,101.15290832519531,-96.19142150878906,0.0,P_base,1,-1634.6624755859375,1863.4586181640625,88.03572845458984,240.93162536621094,814.8264770507812,-14.823205947875977,0.0,P_base,1,-141.74856567382812,177.20034790039062,58.77511978149414,347.57550048828125,528.1124877929688,-50.61793518066406,0.0,P_base,1,0,0.1
